Site,Year,Type,No_of_Sales,Median_Price,Mean_Price,lat,lon
Alpine Shire,2016,House,232,320125,342614,-36.7532313,147.0111681
Alpine Shire,2016,Units/Apartment,40,284500,292575,-36.7532313,147.0111681
Alpine Shire,2016,Vacant House Block,81,140000,147155,-36.7532313,147.0111681
Alpine Shire,2015,House,208,307000,315481,-36.7532313,147.0111681
Alpine Shire,2015,Units/Apartment,51,203000,286781,-36.7532313,147.0111681
Alpine Shire,2015,Vacant House Block,74,130000,128489,-36.7532313,147.0111681
Alpine Shire,2014,House,188,270000,296646,-36.7532313,147.0111681
Alpine Shire,2014,Units/Apartment,51,215000,218437,-36.7532313,147.0111681
Alpine Shire,2014,Vacant House Block,70,118125,132014,-36.7532313,147.0111681
Alpine Shire,2013,House,170,273750,294247,-36.7532313,147.0111681
Alpine Shire,2013,Units/Apartment,33,209000,217313,-36.7532313,147.0111681
Alpine Shire,2013,Vacant House Block,63,97400,105869,-36.7532313,147.0111681
Alpine Shire,2012,House,162,260000,283762,-36.7532313,147.0111681
Alpine Shire,2012,Units/Apartment,43,220000,221162,-36.7532313,147.0111681
Alpine Shire,2012,Vacant House Block,49,112000,112310,-36.7532313,147.0111681
Alpine Shire,2011,House,143,262000,282080,-36.7532313,147.0111681
Alpine Shire,2011,Units/Apartment,40,226250,229125,-36.7532313,147.0111681
Alpine Shire,2011,Vacant House Block,57,110000,120217,-36.7532313,147.0111681
Alpine Shire,2010,House,91,242000,278043,-36.7532313,147.0111681
Alpine Shire,2010,Units/Apartment,25,255000,265460,-36.7532313,147.0111681
Alpine Shire,2010,Vacant House Block,35,128500,120850,-36.7532313,147.0111681
Alpine Shire,2009,House,168,240000,259402,-36.7532313,147.0111681
Alpine Shire,2009,Units/Apartment,45,242000,249205,-36.7532313,147.0111681
Alpine Shire,2009,Vacant House Block,49,115000,149989,-36.7532313,147.0111681
Alpine Shire,2008,House,135,235000,257562,-36.7532313,147.0111681
Alpine Shire,2008,Units/Apartment,32,260000,265696,-36.7532313,147.0111681
Alpine Shire,2008,Vacant House Block,35,105000,119595,-36.7532313,147.0111681
Alpine Shire,2007,House,240,250000,284654,-36.7532313,147.0111681
Alpine Shire,2007,Units/Apartment,40,272500,308320,-36.7532313,147.0111681
Alpine Shire,2007,Vacant House Block,88,107950,145211,-36.7532313,147.0111681
Alpine Shire,2006,House,221,240000,260903,-36.7532313,147.0111681
Alpine Shire,2006,Units/Apartment,60,230000,273528,-36.7532313,147.0111681
Alpine Shire,2006,Vacant House Block,72,120000,127890,-36.7532313,147.0111681
Ararat Rural City,2016,House,164,190000,203622,-37.5401763,142.8741407
Ararat Rural City,2016,Units/Apartment,12,191500,216575,-37.5401763,142.8741407
Ararat Rural City,2016,Vacant House Block,19,48000,52503,-37.5401763,142.8741407
Ararat Rural City,2015,House,125,210000,218299,-37.5401763,142.8741407
Ararat Rural City,2015,Units/Apartment,10,170000,196900,-37.5401763,142.8741407
Ararat Rural City,2015,Vacant House Block,28,76800,68888,-37.5401763,142.8741407
Ararat Rural City,2014,House,156,191500,200452,-37.5401763,142.8741407
Ararat Rural City,2014,Units/Apartment,9,185000,195777,-37.5401763,142.8741407
Ararat Rural City,2014,Vacant House Block,19,78000,72157,-37.5401763,142.8741407
Ararat Rural City,2013,House,172,169500,187571,-37.5401763,142.8741407
Ararat Rural City,2013,Units/Apartment,14,168500,183285,-37.5401763,142.8741407
Ararat Rural City,2013,Vacant House Block,23,53500,61530,-37.5401763,142.8741407
Ararat Rural City,2012,House,139,160000,172991,-37.5401763,142.8741407
Ararat Rural City,2012,Units/Apartment,11,250000,225454,-37.5401763,142.8741407
Ararat Rural City,2012,Vacant House Block,20,80000,64652,-37.5401763,142.8741407
Ararat Rural City,2011,House,152,165000,181191,-37.5401763,142.8741407
Ararat Rural City,2011,Units/Apartment,17,240000,222750,-37.5401763,142.8741407
Ararat Rural City,2011,Vacant House Block,18,70000,64450,-37.5401763,142.8741407
Ararat Rural City,2010,House,187,169000,179064,-37.5401763,142.8741407
Ararat Rural City,2010,Units/Apartment,27,126000,139827,-37.5401763,142.8741407
Ararat Rural City,2010,Vacant House Block,24,71250,68375,-37.5401763,142.8741407
Ararat Rural City,2009,House,206,151250,162118,-37.5401763,142.8741407
Ararat Rural City,2009,Units/Apartment,28,135000,146062,-37.5401763,142.8741407
Ararat Rural City,2009,Vacant House Block,25,66000,59113,-37.5401763,142.8741407
Ararat Rural City,2008,House,137,138000,149113,-37.5401763,142.8741407
Ararat Rural City,2008,Units/Apartment,18,156500,161513,-37.5401763,142.8741407
Ararat Rural City,2008,Vacant House Block,24,50000,52479,-37.5401763,142.8741407
Ararat Rural City,2007,House,201,145000,151856,-37.5401763,142.8741407
Ararat Rural City,2007,Units/Apartment,38,125000,144802,-37.5401763,142.8741407
Ararat Rural City,2007,Vacant House Block,34,65000,55459,-37.5401763,142.8741407
Ararat Rural City,2006,House,154,138000,148943,-37.5401763,142.8741407
Ararat Rural City,2006,Units/Apartment,8,187500,175312,-37.5401763,142.8741407
Ararat Rural City,2006,Vacant House Block,41,55000,59307,-37.5401763,142.8741407
Ballarat City,2016,House,2068,320000,351489,-37.4585878,143.7803147
Ballarat City,2016,Units/Apartment,393,235000,252228,-37.4585878,143.7803147
Ballarat City,2016,Vacant House Block,554,139000,163110,-37.4585878,143.7803147
Ballarat City,2015,House,2115,305000,334156,-37.4585878,143.7803147
Ballarat City,2015,Units/Apartment,405,245000,247966,-37.4585878,143.7803147
Ballarat City,2015,Vacant House Block,663,136000,152904,-37.4585878,143.7803147
Ballarat City,2014,House,2084,295000,335939,-37.4585878,143.7803147
Ballarat City,2014,Units/Apartment,428,245000,254621,-37.4585878,143.7803147
Ballarat City,2014,Vacant House Block,704,142000,153916,-37.4585878,143.7803147
Ballarat City,2013,House,2088,295000,325986,-37.4585878,143.7803147
Ballarat City,2013,Units/Apartment,413,234900,245257,-37.4585878,143.7803147
Ballarat City,2013,Vacant House Block,674,135000,149012,-37.4585878,143.7803147
Ballarat City,2012,House,1926,285000,313609,-37.4585878,143.7803147
Ballarat City,2012,Units/Apartment,465,247000,254324,-37.4585878,143.7803147
Ballarat City,2012,Vacant House Block,544,135000,145051,-37.4585878,143.7803147
Ballarat City,2011,House,2071,280000,309973,-37.4585878,143.7803147
Ballarat City,2011,Units/Apartment,440,225500,239311,-37.4585878,143.7803147
Ballarat City,2011,Vacant House Block,704,132000,140674,-37.4585878,143.7803147
Ballarat City,2010,House,2124,265000,297146,-37.4585878,143.7803147
Ballarat City,2010,Units/Apartment,434,220000,237772,-37.4585878,143.7803147
Ballarat City,2010,Vacant House Block,813,117000,123966,-37.4585878,143.7803147
Ballarat City,2009,House,2201,238000,261795,-37.4585878,143.7803147
Ballarat City,2009,Units/Apartment,577,204950,209557,-37.4585878,143.7803147
Ballarat City,2009,Vacant House Block,856,95000,105579,-37.4585878,143.7803147
Ballarat City,2008,House,1819,225000,250998,-37.4585878,143.7803147
Ballarat City,2008,Units/Apartment,351,189950,200474,-37.4585878,143.7803147
Ballarat City,2008,Vacant House Block,588,95000,100921,-37.4585878,143.7803147
Ballarat City,2007,House,1982,220000,244650,-37.4585878,143.7803147
Ballarat City,2007,Units/Apartment,421,185000,190500,-37.4585878,143.7803147
Ballarat City,2007,Vacant House Block,713,88000,96641,-37.4585878,143.7803147
Ballarat City,2006,House,1890,212000,234493,-37.4585878,143.7803147
Ballarat City,2006,Units/Apartment,351,175000,180440,-37.4585878,143.7803147
Ballarat City,2006,Vacant House Block,579,88000,98043,-37.4585878,143.7803147
Banyule City,2016,House,1412,786750,934345,-37.7314254,145.082419
Banyule City,2016,Units/Apartment,755,565000,591070,-37.7314254,145.082419
Banyule City,2016,Vacant House Block,13,435000,517076,-37.7314254,145.082419
Banyule City,2015,House,1652,712500,849769,-37.7314254,145.082419
Banyule City,2015,Units/Apartment,941,545000,580583,-37.7314254,145.082419
Banyule City,2015,Vacant House Block,18,477500,449631,-37.7314254,145.082419
Banyule City,2014,House,1548,625250,757898,-37.7314254,145.082419
Banyule City,2014,Units/Apartment,1017,485500,520509,-37.7314254,145.082419
Banyule City,2014,Vacant House Block,37,357000,405365,-37.7314254,145.082419
Banyule City,2013,House,1434,581000,689681,-37.7314254,145.082419
Banyule City,2013,Units/Apartment,871,467000,500404,-37.7314254,145.082419
Banyule City,2013,Vacant House Block,30,363500,355706,-37.7314254,145.082419
Banyule City,2012,House,1232,540000,646566,-37.7314254,145.082419
Banyule City,2012,Units/Apartment,703,448000,470523,-37.7314254,145.082419
Banyule City,2012,Vacant House Block,30,382500,367966,-37.7314254,145.082419
Banyule City,2011,House,1288,562600,675730,-37.7314254,145.082419
Banyule City,2011,Units/Apartment,664,460000,495640,-37.7314254,145.082419
Banyule City,2011,Vacant House Block,33,380000,367324,-37.7314254,145.082419
Banyule City,2010,House,1359,585000,690165,-37.7314254,145.082419
Banyule City,2010,Units/Apartment,718,469475,491460,-37.7314254,145.082419
Banyule City,2010,Vacant House Block,37,350000,348142,-37.7314254,145.082419
Banyule City,2009,House,1484,474244,577337,-37.7314254,145.082419
