Site,Year,Type,lat,lon,population,WeeklyIncome,WeeklyRent,Weekly pay,WeeklyLoanRatio,WeeklyRentRatio,No_of_Sales,Median_Price,Mean_Price
Alpine Shire,2016,House,-36.7532313,147.0111681,12337,1002,200,164.1666667,6.103553298,5.01,232,320125,342614
Alpine Shire,2016,Units/Apartment,-36.7532313,147.0111681,12337,1002,200,145.8974359,6.867838313,5.01,40,284500,292575
Alpine Shire,2016,Vacant House Block,-36.7532313,147.0111681,12337,1002,200,71.79487179,13.95642857,5.01,81,140000,147155
Alpine Shire,2015,House,-36.7532313,147.0111681,12337,1002,200,164.1666667,6.103553298,5.01,208,307000,315481
Alpine Shire,2015,Units/Apartment,-36.7532313,147.0111681,12337,1002,200,145.8974359,6.867838313,5.01,51,203000,286781
Alpine Shire,2015,Vacant House Block,-36.7532313,147.0111681,12337,1002,200,71.79487179,13.95642857,5.01,74,130000,128489
Alpine Shire,2014,House,-36.7532313,147.0111681,12337,1002,200,164.1666667,6.103553298,5.01,188,270000,296646
Alpine Shire,2014,Units/Apartment,-36.7532313,147.0111681,12337,1002,200,145.8974359,6.867838313,5.01,51,215000,218437
Alpine Shire,2014,Vacant House Block,-36.7532313,147.0111681,12337,1002,200,71.79487179,13.95642857,5.01,70,118125,132014
Alpine Shire,2013,House,-36.7532313,147.0111681,12337,1002,200,164.1666667,6.103553298,5.01,170,273750,294247
Alpine Shire,2013,Units/Apartment,-36.7532313,147.0111681,12337,1002,200,145.8974359,6.867838313,5.01,33,209000,217313
Alpine Shire,2013,Vacant House Block,-36.7532313,147.0111681,12337,1002,200,71.79487179,13.95642857,5.01,63,97400,105869
Alpine Shire,2012,House,-36.7532313,147.0111681,12337,1002,200,164.1666667,6.103553298,5.01,162,260000,283762
Alpine Shire,2012,Units/Apartment,-36.7532313,147.0111681,12337,1002,200,145.8974359,6.867838313,5.01,43,220000,221162
Alpine Shire,2012,Vacant House Block,-36.7532313,147.0111681,12337,1002,200,71.79487179,13.95642857,5.01,49,112000,112310
Alpine Shire,2011,House,-36.7532313,147.0111681,11881,829,170,134.3589744,6.170038166,4.876470588,143,262000,282080
Alpine Shire,2011,Units/Apartment,-36.7532313,147.0111681,11881,829,170,116.025641,7.144972377,4.876470588,40,226250,229125
Alpine Shire,2011,Vacant House Block,-36.7532313,147.0111681,11881,829,170,56.41025641,14.69590909,4.876470588,57,110000,120217
Alpine Shire,2010,House,-36.7532313,147.0111681,11881,829,170,134.3589744,6.170038166,4.876470588,91,242000,278043
Alpine Shire,2010,Units/Apartment,-36.7532313,147.0111681,11881,829,170,116.025641,7.144972377,4.876470588,25,255000,265460
Alpine Shire,2010,Vacant House Block,-36.7532313,147.0111681,11881,829,170,56.41025641,14.69590909,4.876470588,35,128500,120850
Alpine Shire,2009,House,-36.7532313,147.0111681,11881,829,170,134.3589744,6.170038166,4.876470588,168,240000,259402
Alpine Shire,2009,Units/Apartment,-36.7532313,147.0111681,11881,829,170,116.025641,7.144972377,4.876470588,45,242000,249205
Alpine Shire,2009,Vacant House Block,-36.7532313,147.0111681,11881,829,170,56.41025641,14.69590909,4.876470588,49,115000,149989
Alpine Shire,2008,House,-36.7532313,147.0111681,11881,829,170,134.3589744,6.170038166,4.876470588,135,235000,257562
